Date,Day_Month,Quarter,Season
10/8/81,8-Oct,Q4,Fall
10/9/81,9-Oct,Q4,Fall
10/11/81,11-Oct,Q4,Fall
10/12/81,12-Oct,Q4,Fall
10/13/81,13-Oct,Q4,Fall
10/14/81,14-Oct,Q4,Fall
10/15/81,15-Oct,Q4,Fall
10/16/81,16-Oct,Q4,Fall
10/19/81,19-Oct,Q4,Fall
10/20/81,20-Oct,Q4,Fall
10/21/81,21-Oct,Q4,Fall
10/22/81,22-Oct,Q4,Fall
10/23/81,23-Oct,Q4,Fall
10/26/81,26-Oct,Q4,Fall
10/27/81,27-Oct,Q4,Fall
10/28/81,28-Oct,Q4,Fall
10/29/81,29-Oct,Q4,Fall
10/30/81,30-Oct,Q4,Fall
11/2/81,2-Nov,Q4,Fall
11/3/81,3-Nov,Q4,Fall
11/5/81,5-Nov,Q4,Fall
11/6/81,6-Nov,Q4,Fall
11/8/81,8-Nov,Q4,Fall
11/9/81,9-Nov,Q4,Fall
11/11/81,11-Nov,Q4,Fall
11/12/81,12-Nov,Q4,Fall
11/13/81,13-Nov,Q4,Fall
11/16/81,16-Nov,Q4,Fall
11/17/81,17-Nov,Q4,Fall
11/18/81,18-Nov,Q4,Fall
11/19/81,19-Nov,Q4,Fall
11/20/81,20-Nov,Q4,Fall
11/23/81,23-Nov,Q4,Fall
11/24/81,24-Nov,Q4,Fall
11/25/81,25-Nov,Q4,Fall
11/27/81,27-Nov,Q4,Fall
11/30/81,30-Nov,Q4,Fall
12/1/81,1-Dec,Q4,Winter
12/2/81,2-Dec,Q4,Winter
12/3/81,3-Dec,Q4,Winter
12/5/81,5-Dec,Q4,Winter
12/6/81,6-Dec,Q4,Winter
12/8/81,8-Dec,Q4,Winter
12/10/81,10-Dec,Q4,Winter
12/11/81,11-Dec,Q4,Winter
12/14/81,14-Dec,Q4,Winter
12/15/81,15-Dec,Q4,Winter
12/16/81,16-Dec,Q4,Winter
12/17/81,17-Dec,Q4,Winter
12/18/81,18-Dec,Q4,Winter
12/21/81,21-Dec,Q4,Winter
12/22/81,22-Dec,Q4,Winter
12/23/81,23-Dec,Q4,Winter
12/24/81,24-Dec,Q4,Winter
12/28/81,28-Dec,Q4,Winter
12/29/81,29-Dec,Q4,Winter
12/30/81,30-Dec,Q4,Winter
12/31/81,31-Dec,Q4,Winter
1/2/82,2-Jan,Q1,Winter
1/3/82,3-Jan,Q1,Winter
1/4/82,4-Jan,Q1,Winter
1/6/82,6-Jan,Q1,Winter
1/7/82,7-Jan,Q1,Winter
1/9/82,9-Jan,Q1,Winter
1/10/82,10-Jan,Q1,Winter
1/11/82,11-Jan,Q1,Winter
1/12/82,12-Jan,Q1,Winter
1/13/82,13-Jan,Q1,Winter
1/14/82,14-Jan,Q1,Winter
1/15/82,15-Jan,Q1,Winter
1/18/82,18-Jan,Q1,Winter
1/19/82,19-Jan,Q1,Winter
1/20/82,20-Jan,Q1,Winter
1/21/82,21-Jan,Q1,Winter
1/22/82,22-Jan,Q1,Winter
1/25/82,25-Jan,Q1,Winter
1/26/82,26-Jan,Q1,Winter
1/27/82,27-Jan,Q1,Winter
1/28/82,28-Jan,Q1,Winter
1/29/82,29-Jan,Q1,Winter
2/2/82,2-Feb,Q1,Winter
2/3/82,3-Feb,Q1,Winter
2/4/82,4-Feb,Q1,Winter
2/6/82,6-Feb,Q1,Winter
2/7/82,7-Feb,Q1,Winter
2/8/82,8-Feb,Q1,Winter
2/9/82,9-Feb,Q1,Winter
2/11/82,11-Feb,Q1,Winter
2/12/82,12-Feb,Q1,Winter
2/16/82,16-Feb,Q1,Winter
2/17/82,17-Feb,Q1,Winter
2/18/82,18-Feb,Q1,Winter
2/19/82,19-Feb,Q1,Winter
2/22/82,22-Feb,Q1,Winter
2/23/82,23-Feb,Q1,Winter
2/24/82,24-Feb,Q1,Winter
2/25/82,25-Feb,Q1,Winter
2/26/82,26-Feb,Q1,Winter
3/2/82,2-Mar,Q1,Spring
3/3/82,3-Mar,Q1,Spring
3/5/82,5-Mar,Q1,Spring
3/6/82,6-Mar,Q1,Spring
3/8/82,8-Mar,Q1,Spring
3/9/82,9-Mar,Q1,Spring
3/11/82,11-Mar,Q1,Spring
3/12/82,12-Mar,Q1,Spring
3/15/82,15-Mar,Q1,Spring
3/16/82,16-Mar,Q1,Spring
3/17/82,17-Mar,Q1,Spring
3/18/82,18-Mar,Q1,Spring
3/19/82,19-Mar,Q1,Spring
3/22/82,22-Mar,Q1,Spring
3/23/82,23-Mar,Q1,Spring
3/24/82,24-Mar,Q1,Spring
3/25/82,25-Mar,Q1,Spring
3/26/82,26-Mar,Q1,Spring
3/29/82,29-Mar,Q1,Spring
3/30/82,30-Mar,Q1,Spring
3/31/82,31-Mar,Q1,Spring
4/1/82,1-Apr,Q2,Spring
4/2/82,2-Apr,Q2,Spring
4/3/82,3-Apr,Q2,Spring
4/5/82,5-Apr,Q2,Spring
4/6/82,6-Apr,Q2,Spring
4/8/82,8-Apr,Q2,Spring
4/10/82,10-Apr,Q2,Spring
4/11/82,11-Apr,Q2,Spring
4/13/82,13-Apr,Q2,Spring
4/14/82,14-Apr,Q2,Spring
4/15/82,15-Apr,Q2,Spring
4/16/82,16-Apr,Q2,Spring
4/19/82,19-Apr,Q2,Spring
4/20/82,20-Apr,Q2,Spring
4/21/82,21-Apr,Q2,Spring
4/22/82,22-Apr,Q2,Spring
4/23/82,23-Apr,Q2,Spring
4/26/82,26-Apr,Q2,Spring
4/27/82,27-Apr,Q2,Spring
4/28/82,28-Apr,Q2,Spring
4/29/82,29-Apr,Q2,Spring
4/30/82,30-Apr,Q2,Spring
5/1/82,1-May,Q2,Spring
5/2/82,2-May,Q2,Spring
5/3/82,3-May,Q2,Spring
5/4/82,4-May,Q2,Spring
5/5/82,5-May,Q2,Spring
5/8/82,8-May,Q2,Spring
5/10/82,10-May,Q2,Spring
5/11/82,11-May,Q2,Spring
5/13/82,13-May,Q2,Spring
5/14/82,14-May,Q2,Spring
5/17/82,17-May,Q2,Spring
5/18/82,18-May,Q2,Spring
5/19/82,19-May,Q2,Spring
5/20/82,20-May,Q2,Spring
5/21/82,21-May,Q2,Spring
5/24/82,24-May,Q2,Spring
5/25/82,25-May,Q2,Spring
5/26/82,26-May,Q2,Spring
5/27/82,27-May,Q2,Spring
5/28/82,28-May,Q2,Spring
6/1/82,1-Jun,Q2,Summer
6/4/82,4-Jun,Q2,Summer
6/5/82,5-Jun,Q2,Summer
6/7/82,7-Jun,Q2,Summer
6/8/82,8-Jun,Q2,Summer
6/10/82,10-Jun,Q2,Summer
6/12/82,12-Jun,Q2,Summer
6/14/82,14-Jun,Q2,Summer
6/15/82,15-Jun,Q2,Summer
6/16/82,16-Jun,Q2,Summer
6/17/82,17-Jun,Q2,Summer
6/18/82,18-Jun,Q2,Summer
6/21/82,21-Jun,Q2,Summer
6/22/82,22-Jun,Q2,Summer
6/23/82,23-Jun,Q2,Summer
6/24/82,24-Jun,Q2,Summer
6/25/82,25-Jun,Q2,Summer
6/28/82,28-Jun,Q2,Summer
6/29/82,29-Jun,Q2,Summer
6/30/82,30-Jun,Q2,Summer
7/1/82,1-Jul,Q3,Summer
7/4/82,4-Jul,Q3,Summer
7/5/82,5-Jul,Q3,Summer
7/6/82,6-Jul,Q3,Summer
7/7/82,7-Jul,Q3,Summer
7/9/82,9-Jul,Q3,Summer
7/10/82,10-Jul,Q3,Summer
7/12/82,12-Jul,Q3,Summer
7/13/82,13-Jul,Q3,Summer
7/14/82,14-Jul,Q3,Summer
7/15/82,15-Jul,Q3,Summer
7/16/82,16-Jul,Q3,Summer
7/19/82,19-Jul,Q3,Summer
7/20/82,20-Jul,Q3,Summer
7/21/82,21-Jul,Q3,Summer
7/22/82,22-Jul,Q3,Summer
7/23/82,23-Jul,Q3,Summer
7/26/82,26-Jul,Q3,Summer
7/27/82,27-Jul,Q3,Summer
7/28/82,28-Jul,Q3,Summer
7/29/82,29-Jul,Q3,Summer
7/30/82,30-Jul,Q3,Summer
8/1/82,1-Aug,Q3,Summer
8/2/82,2-Aug,Q3,Summer
8/3/82,3-Aug,Q3,Summer
8/4/82,4-Aug,Q3,Summer
8/6/82,6-Aug,Q3,Summer
8/7/82,7-Aug,Q3,Summer
8/9/82,9-Aug,Q3,Summer
8/10/82,10-Aug,Q3,Summer
8/11/82,11-Aug,Q3,Summer
8/12/82,12-Aug,Q3,Summer
8/13/82,13-Aug,Q3,Summer
8/16/82,16-Aug,Q3,Summer
8/17/82,17-Aug,Q3,Summer
8/18/82,18-Aug,Q3,Summer
8/19/82,19-Aug,Q3,Summer
8/20/82,20-Aug,Q3,Summer
8/23/82,23-Aug,Q3,Summer
8/24/82,24-Aug,Q3,Summer
8/25/82,25-Aug,Q3,Summer
8/26/82,26-Aug,Q3,Summer
8/27/82,27-Aug,Q3,Summer
8/30/82,30-Aug,Q3,Summer
8/31/82,31-Aug,Q3,Summer
9/2/82,2-Sep,Q3,Fall
9/3/82,3-Sep,Q3,Fall
9/6/82,6-Sep,Q3,Fall
9/7/82,7-Sep,Q3,Fall
9/8/82,8-Sep,Q3,Fall
9/9/82,9-Sep,Q3,Fall
9/11/82,11-Sep,Q3,Fall
9/12/82,12-Sep,Q3,Fall
9/13/82,13-Sep,Q3,Fall
9/14/82,14-Sep,Q3,Fall
9/15/82,15-Sep,Q3,Fall
9/16/82,16-Sep,Q3,Fall
9/17/82,17-Sep,Q3,Fall
9/20/82,20-Sep,Q3,Fall
9/21/82,21-Sep,Q3,Fall
9/22/82,22-Sep,Q3,Fall
9/23/82,23-Sep,Q3,Fall
9/24/82,24-Sep,Q3,Fall
9/27/82,27-Sep,Q3,Fall
9/28/82,28-Sep,Q3,Fall
9/29/82,29-Sep,Q3,Fall
9/30/82,30-Sep,Q3,Fall
10/2/82,2-Oct,Q4,Fall
10/3/82,3-Oct,Q4,Fall
10/5/82,5-Oct,Q4,Fall
10/6/82,6-Oct,Q4,Fall
10/8/82,8-Oct,Q4,Fall
10/9/82,9-Oct,Q4,Fall
10/11/82,11-Oct,Q4,Fall
10/12/82,12-Oct,Q4,Fall
10/13/82,13-Oct,Q4,Fall
10/14/82,14-Oct,Q4,Fall
10/15/82,15-Oct,Q4,Fall
10/18/82,18-Oct,Q4,Fall
10/19/82,19-Oct,Q4,Fall
10/20/82,20-Oct,Q4,Fall
10/21/82,21-Oct,Q4,Fall
10/22/82,22-Oct,Q4,Fall
10/25/82,25-Oct,Q4,Fall
10/26/82,26-Oct,Q4,Fall
10/27/82,27-Oct,Q4,Fall
10/28/82,28-Oct,Q4,Fall
10/29/82,29-Oct,Q4,Fall
11/1/82,1-Nov,Q4,Fall
11/2/82,2-Nov,Q4,Fall
11/3/82,3-Nov,Q4,Fall
11/5/82,5-Nov,Q4,Fall
11/6/82,6-Nov,Q4,Fall
11/8/82,8-Nov,Q4,Fall
11/10/82,10-Nov,Q4,Fall
11/11/82,11-Nov,Q4,Fall
11/15/82,15-Nov,Q4,Fall
11/16/82,16-Nov,Q4,Fall
11/17/82,17-Nov,Q4,Fall
11/18/82,18-Nov,Q4,Fall
11/19/82,19-Nov,Q4,Fall
11/22/82,22-Nov,Q4,Fall
11/23/82,23-Nov,Q4,Fall
11/24/82,24-Nov,Q4,Fall
11/26/82,26-Nov,Q4,Fall
11/29/82,29-Nov,Q4,Fall
11/30/82,30-Nov,Q4,Fall
12/1/82,1-Dec,Q4,Winter
12/2/82,2-Dec,Q4,Winter
12/3/82,3-Dec,Q4,Winter
12/4/82,4-Dec,Q4,Winter
12/5/82,5-Dec,Q4,Winter
12/7/82,7-Dec,Q4,Winter
12/8/82,8-Dec,Q4,Winter
12/10/82,10-Dec,Q4,Winter
12/11/82,11-Dec,Q4,Winter
12/13/82,13-Dec,Q4,Winter
12/14/82,14-Dec,Q4,Winter
12/15/82,15-Dec,Q4,Winter
12/16/82,16-Dec,Q4,Winter
12/17/82,17-Dec,Q4,Winter
12/20/82,20-Dec,Q4,Winter
12/21/82,21-Dec,Q4,Winter
12/22/82,22-Dec,Q4,Winter
12/23/82,23-Dec,Q4,Winter
12/27/82,27-Dec,Q4,Winter
12/28/82,28-Dec,Q4,Winter
12/29/82,29-Dec,Q4,Winter
12/30/82,30-Dec,Q4,Winter
12/31/82,31-Dec,Q4,Winter
1/2/83,2-Jan,Q1,Winter
1/3/83,3-Jan,Q1,Winter
1/6/83,6-Jan,Q1,Winter
1/7/83,7-Jan,Q1,Winter
1/8/83,8-Jan,Q1,Winter
1/9/83,9-Jan,Q1,Winter
1/11/83,11-Jan,Q1,Winter
1/12/83,12-Jan,Q1,Winter
1/13/83,13-Jan,Q1,Winter
1/14/83,14-Jan,Q1,Winter
1/17/83,17-Jan,Q1,Winter
1/18/83,18-Jan,Q1,Winter
1/19/83,19-Jan,Q1,Winter
1/20/83,20-Jan,Q1,Winter
1/21/83,21-Jan,Q1,Winter
1/24/83,24-Jan,Q1,Winter
1/25/83,25-Jan,Q1,Winter
1/26/83,26-Jan,Q1,Winter
1/27/83,27-Jan,Q1,Winter
1/28/83,28-Jan,Q1,Winter
1/31/83,31-Jan,Q1,Winter
2/2/83,2-Feb,Q1,Winter
2/3/83,3-Feb,Q1,Winter
2/5/83,5-Feb,Q1,Winter
2/6/83,6-Feb,Q1,Winter
2/8/83,8-Feb,Q1,Winter
2/9/83,9-Feb,Q1,Winter
2/11/83,11-Feb,Q1,Winter
2/12/83,12-Feb,Q1,Winter
2/14/83,14-Feb,Q1,Winter
2/15/83,15-Feb,Q1,Winter
2/16/83,16-Feb,Q1,Winter
2/17/83,17-Feb,Q1,Winter
2/18/83,18-Feb,Q1,Winter
2/22/83,22-Feb,Q1,Winter
2/23/83,23-Feb,Q1,Winter
2/24/83,24-Feb,Q1,Winter
2/25/83,25-Feb,Q1,Winter
2/28/83,28-Feb,Q1,Winter
3/1/83,1-Mar,Q1,Spring
3/2/83,2-Mar,Q1,Spring
3/3/83,3-Mar,Q1,Spring
3/5/83,5-Mar,Q1,Spring
3/6/83,6-Mar,Q1,Spring
3/8/83,8-Mar,Q1,Spring
3/10/83,10-Mar,Q1,Spring
3/11/83,11-Mar,Q1,Spring
3/14/83,14-Mar,Q1,Spring
3/15/83,15-Mar,Q1,Spring
3/16/83,16-Mar,Q1,Spring
3/17/83,17-Mar,Q1,Spring
3/18/83,18-Mar,Q1,Spring
3/21/83,21-Mar,Q1,Spring
3/22/83,22-Mar,Q1,Spring
3/23/83,23-Mar,Q1,Spring
3/24/83,24-Mar,Q1,Spring
3/25/83,25-Mar,Q1,Spring
3/28/83,28-Mar,Q1,Spring
3/29/83,29-Mar,Q1,Spring
3/30/83,30-Mar,Q1,Spring
3/31/83,31-Mar,Q1,Spring
4/1/83,1-Apr,Q2,Spring
4/2/83,2-Apr,Q2,Spring
4/3/83,3-Apr,Q2,Spring
4/4/83,4-Apr,Q2,Spring
4/5/83,5-Apr,Q2,Spring
4/8/83,8-Apr,Q2,Spring
4/10/83,10-Apr,Q2,Spring
4/11/83,11-Apr,Q2,Spring
4/13/83,13-Apr,Q2,Spring
4/14/83,14-Apr,Q2,Spring
4/15/83,15-Apr,Q2,Spring
4/18/83,18-Apr,Q2,Spring
4/19/83,19-Apr,Q2,Spring
4/20/83,20-Apr,Q2,Spring
4/21/83,21-Apr,Q2,Spring
4/22/83,22-Apr,Q2,Spring
4/25/83,25-Apr,Q2,Spring
4/26/83,26-Apr,Q2,Spring
4/27/83,27-Apr,Q2,Spring
4/28/83,28-Apr,Q2,Spring
4/29/83,29-Apr,Q2,Spring
5/1/83,1-May,Q2,Spring
5/4/83,4-May,Q2,Spring
5/5/83,5-May,Q2,Spring
5/7/83,7-May,Q2,Spring
5/8/83,8-May,Q2,Spring
5/10/83,10-May,Q2,Spring
5/12/83,12-May,Q2,Spring
5/13/83,13-May,Q2,Spring
5/16/83,16-May,Q2,Spring
5/17/83,17-May,Q2,Spring
5/18/83,18-May,Q2,Spring
5/19/83,19-May,Q2,Spring
5/20/83,20-May,Q2,Spring
5/23/83,23-May,Q2,Spring
5/24/83,24-May,Q2,Spring
5/25/83,25-May,Q2,Spring
5/26/83,26-May,Q2,Spring
5/27/83,27-May,Q2,Spring
5/31/83,31-May,Q2,Spring
6/1/83,1-Jun,Q2,Summer
6/4/83,4-Jun,Q2,Summer
6/5/83,5-Jun,Q2,Summer
6/6/83,6-Jun,Q2,Summer
6/7/83,7-Jun,Q2,Summer
6/9/83,9-Jun,Q2,Summer
6/10/83,10-Jun,Q2,Summer
6/12/83,12-Jun,Q2,Summer
6/13/83,13-Jun,Q2,Summer
6/14/83,14-Jun,Q2,Summer
6/15/83,15-Jun,Q2,Summer
6/16/83,16-Jun,Q2,Summer
6/17/83,17-Jun,Q2,Summer
6/20/83,20-Jun,Q2,Summer
6/21/83,21-Jun,Q2,Summer
6/22/83,22-Jun,Q2,Summer
6/23/83,23-Jun,Q2,Summer
6/24/83,24-Jun,Q2,Summer
6/27/83,27-Jun,Q2,Summer
6/28/83,28-Jun,Q2,Summer
6/29/83,29-Jun,Q2,Summer
6/30/83,30-Jun,Q2,Summer
7/1/83,1-Jul,Q3,Summer
7/2/83,2-Jul,Q3,Summer
7/3/83,3-Jul,Q3,Summer
7/4/83,4-Jul,Q3,Summer
7/6/83,6-Jul,Q3,Summer
7/7/83,7-Jul,Q3,Summer
7/9/83,9-Jul,Q3,Summer
7/10/83,10-Jul,Q3,Summer
7/11/83,11-Jul,Q3,Summer
7/12/83,12-Jul,Q3,Summer
7/13/83,13-Jul,Q3,Summer
7/14/83,14-Jul,Q3,Summer
7/15/83,15-Jul,Q3,Summer
7/18/83,18-Jul,Q3,Summer
7/19/83,19-Jul,Q3,Summer
7/20/83,20-Jul,Q3,Summer
7/21/83,21-Jul,Q3,Summer
7/22/83,22-Jul,Q3,Summer
7/25/83,25-Jul,Q3,Summer
7/26/83,26-Jul,Q3,Summer
7/27/83,27-Jul,Q3,Summer
7/28/83,28-Jul,Q3,Summer
7/29/83,29-Jul,Q3,Summer
8/2/83,2-Aug,Q3,Summer
8/3/83,3-Aug,Q3,Summer
8/4/83,4-Aug,Q3,Summer
8/6/83,6-Aug,Q3,Summer
8/7/83,7-Aug,Q3,Summer
8/8/83,8-Aug,Q3,Summer
8/9/83,9-Aug,Q3,Summer
8/11/83,11-Aug,Q3,Summer
8/12/83,12-Aug,Q3,Summer
8/15/83,15-Aug,Q3,Summer
8/16/83,16-Aug,Q3,Summer
8/17/83,17-Aug,Q3,Summer
8/18/83,18-Aug,Q3,Summer
8/19/83,19-Aug,Q3,Summer
8/22/83,22-Aug,Q3,Summer
8/23/83,23-Aug,Q3,Summer
8/24/83,24-Aug,Q3,Summer
8/25/83,25-Aug,Q3,Summer
8/26/83,26-Aug,Q3,Summer
8/29/83,29-Aug,Q3,Summer
8/30/83,30-Aug,Q3,Summer
8/31/83,31-Aug,Q3,Summer
9/2/83,2-Sep,Q3,Fall
9/3/83,3-Sep,Q3,Fall
9/5/83,5-Sep,Q3,Fall
9/6/83,6-Sep,Q3,Fall
9/8/83,8-Sep,Q3,Fall
9/9/83,9-Sep,Q3,Fall
9/11/83,11-Sep,Q3,Fall
9/12/83,12-Sep,Q3,Fall
9/13/83,13-Sep,Q3,Fall
9/14/83,14-Sep,Q3,Fall
9/15/83,15-Sep,Q3,Fall
9/16/83,16-Sep,Q3,Fall
9/19/83,19-Sep,Q3,Fall
9/20/83,20-Sep,Q3,Fall
9/21/83,21-Sep,Q3,Fall
9/22/83,22-Sep,Q3,Fall
9/23/83,23-Sep,Q3,Fall
