Date,Day_Month,Year,Month,Season,Quarter,Open,High,Low,Close,Adj Close,Volume,Open_Change,High_Change,Low_Change,Close_Change,Volume_Change,Gain_Loss_Open,Gain_Loss_High,Gain_Loss_Low,Gain_Loss_Close,Gain_Loss_Volume
2/10/81,02/10,1981,2,Winter,Q1,0.073661,0.074219,0.073661,0.073661,0.057823,45046400,-0.023437,-0.023437,-0.023437,-0.023437,25670400,Loss,Loss,Loss,Loss,Gain
2/11/81,02/11,1981,2,Winter,Q1,0.089286,0.089844,0.089286,0.089286,0.070088,36915200,0.015625,0.015625,0.015625,0.015625,-8131200,Gain,Gain,Gain,Gain,Loss
2/12/81,02/12,1981,2,Winter,Q1,0.083705,0.084263,0.083705,0.083705,0.065707,37564800,-0.005581,-0.005581,-0.005581,-0.005581,649600,Loss,Loss,Loss,Loss,Gain
2/13/81,02/13,1981,2,Winter,Q1,0.114955,0.114955,0.113839,0.113839,0.089362,11155200,0.03125,0.030692,0.030134,0.030134,-26409600,Gain,Gain,Gain,Gain,Loss
2/17/81,02/17,1981,2,Winter,Q1,0.116629,0.117188,0.116629,0.116629,0.091552,12275200,0.001674,0.002233,0.00279,0.00279,1120000,Gain,Gain,Gain,Gain,Gain
2/18/81,02/18,1981,2,Winter,Q1,0.121652,0.122768,0.121652,0.121652,0.095495,19241600,0.005023,0.00558,0.005023,0.005023,6966400,Gain,Gain,Gain,Gain,Gain
2/19/81,02/19,1981,2,Winter,Q1,0.114955,0.114955,0.114397,0.114397,0.0898,22310400,-0.006697,-0.007813,-0.007255,-0.007255,3068800,Loss,Loss,Loss,Loss,Gain
2/20/81,02/20,1981,2,Winter,Q1,0.108817,0.108817,0.108259,0.108259,0.084981,24371200,-0.006138,-0.006138,-0.006138,-0.006138,2060800,Loss,Loss,Loss,Loss,Gain
2/23/81,02/23,1981,2,Winter,Q1,0.109933,0.110491,0.109933,0.109933,0.086295,14112000,0.001116,0.001674,0.001674,0.001674,-10259200,Gain,Gain,Gain,Gain,Loss
2/24/81,02/24,1981,2,Winter,Q1,0.107143,0.107143,0.106027,0.106027,0.083229,16979200,-0.00279,-0.003348,-0.003906,-0.003906,2867200,Loss,Loss,Loss,Loss,Gain
2/25/81,02/25,1981,2,Winter,Q1,0.112723,0.113281,0.112723,0.112723,0.088485,19488000,0.00558,0.006138,0.006696,0.006696,2508800,Gain,Gain,Gain,Gain,Gain
2/26/81,02/26,1981,2,Winter,Q1,0.114397,0.114955,0.114397,0.114397,0.0898,10841600,0.001674,0.001674,0.001674,0.001674,-8646400,Gain,Gain,Gain,Gain,Loss
2/27/81,02/27,1981,2,Winter,Q1,0.118304,0.11942,0.118304,0.118304,0.092866,14761600,0.003907,0.004465,0.003907,0.003907,3920000,Gain,Gain,Gain,Gain,Gain
3/2/81,03/02,1981,3,Spring,Q1,0.123326,0.123884,0.123326,0.123326,0.096809,19152000,0.005022,0.004464,0.005022,0.005022,4390400,Gain,Gain,Gain,Gain,Gain
3/3/81,03/03,1981,3,Spring,Q1,0.117746,0.117746,0.117188,0.117188,0.09199,16172800,-0.00558,-0.006138,-0.006138,-0.006138,-2979200,Loss,Loss,Loss,Loss,Loss
3/4/81,03/04,1981,3,Spring,Q1,0.118304,0.118862,0.118304,0.118304,0.092866,16486400,0.000558,0.001116,0.001116,0.001116,313600,Gain,Gain,Gain,Gain,Gain
3/6/81,03/06,1981,3,Spring,Q1,0.140625,0.141741,0.140625,0.140625,0.110388,39446400,0.022321,0.022879,0.022321,0.022321,22960000,Gain,Gain,Gain,Gain,Gain
3/8/81,03/08,1981,3,Spring,Q1,0.111607,0.111607,0.110491,0.110491,0.086733,12432000,-0.029018,-0.030134,-0.030134,-0.030134,-27014400,Loss,Loss,Loss,Loss,Loss
3/9/81,03/09,1981,3,Spring,Q1,0.093192,0.093192,0.092076,0.092076,0.072278,37475200,-0.018415,-0.018415,-0.018415,-0.018415,25043200,Loss,Loss,Loss,Loss,Gain
3/11/81,03/11,1981,3,Spring,Q1,0.088728,0.088728,0.08817,0.08817,0.069212,28380800,-0.004464,-0.004464,-0.003906,-0.003906,-9094400,Loss,Loss,Loss,Loss,Loss
3/12/81,03/12,1981,3,Spring,Q1,0.083147,0.083147,0.082589,0.082589,0.064831,20428800,-0.005581,-0.005581,-0.005581,-0.005581,-7952000,Loss,Loss,Loss,Loss,Loss
3/13/81,03/13,1981,3,Spring,Q1,0.099888,0.099888,0.09933,0.09933,0.077972,231302400,0.016741,0.016741,0.016741,0.016741,210873600,Gain,Gain,Gain,Gain,Gain
3/16/81,03/16,1981,3,Spring,Q1,0.103237,0.104353,0.103237,0.103237,0.081039,37228800,0.003349,0.004465,0.003907,0.003907,-194073600,Gain,Gain,Gain,Gain,Loss
3/17/81,03/17,1981,3,Spring,Q1,0.108259,0.109375,0.108259,0.108259,0.084981,43747200,0.005022,0.005022,0.005022,0.005022,6518400,Gain,Gain,Gain,Gain,Gain
3/18/81,03/18,1981,3,Spring,Q1,0.114955,0.116071,0.114955,0.114955,0.090238,36937600,0.006696,0.006696,0.006696,0.006696,-6809600,Gain,Gain,Gain,Gain,Loss
3/19/81,03/19,1981,3,Spring,Q1,0.114397,0.114397,0.113839,0.113839,0.089362,37811200,-0.000558,-0.001674,-0.001116,-0.001116,873600,Loss,Loss,Loss,Loss,Gain
3/20/81,03/20,1981,3,Spring,Q1,0.114955,0.116071,0.114955,0.114955,0.090238,14604800,0.000558,0.001674,0.001116,0.001116,-23206400,Gain,Gain,Gain,Gain,Loss
3/23/81,03/23,1981,3,Spring,Q1,0.11942,0.120536,0.11942,0.11942,0.093742,22019200,0.004465,0.004465,0.004465,0.004465,7414400,Gain,Gain,Gain,Gain,Gain
3/24/81,03/24,1981,3,Spring,Q1,0.11942,0.11942,0.118862,0.118862,0.093304,28156800,0,-0.001116,-0.000558,-0.000558,6137600,Gain,Loss,Loss,Loss,Gain
3/25/81,03/25,1981,3,Spring,Q1,0.117746,0.117746,0.116629,0.116629,0.091552,7056000,-0.001674,-0.001674,-0.002233,-0.002233,-21100800,Loss,Loss,Loss,Loss,Loss
3/26/81,03/26,1981,3,Spring,Q1,0.114955,0.114955,0.114397,0.114397,0.0898,12275200,-0.002791,-0.002791,-0.002232,-0.002232,5219200,Loss,Loss,Loss,Loss,Gain
3/27/81,03/27,1981,3,Spring,Q1,0.111049,0.111049,0.110491,0.110491,0.086733,12252800,-0.003906,-0.003906,-0.003906,-0.003906,-22400,Loss,Loss,Loss,Loss,Loss
3/30/81,03/30,1981,3,Spring,Q1,0.110491,0.111607,0.110491,0.110491,0.086733,9900800,-0.000558,0.000558,0,0,-2352000,Loss,Gain,Gain,Gain,Loss
3/31/81,03/31,1981,3,Spring,Q1,0.110491,0.110491,0.109375,0.109375,0.085857,15993600,0,-0.001116,-0.001116,-0.001116,6092800,Gain,Loss,Loss,Loss,Gain
4/2/81,04/02,1981,4,Spring,Q2,0.12779,0.128348,0.12779,0.12779,0.100313,27865600,0.017299,0.017857,0.018415,0.018415,11872000,Gain,Gain,Gain,Gain,Gain
4/3/81,04/03,1981,4,Spring,Q2,0.116629,0.116629,0.116071,0.116071,0.091114,13708800,-0.011161,-0.011719,-0.011719,-0.011719,-14156800,Loss,Loss,Loss,Loss,Loss
4/5/81,04/05,1981,4,Spring,Q2,0.126674,0.126674,0.126116,0.126116,0.098999,14448000,0.010045,0.010045,0.010045,0.010045,739200,Gain,Gain,Gain,Gain,Gain
4/6/81,04/06,1981,4,Spring,Q2,0.143415,0.143973,0.143415,0.143415,0.112578,56067200,0.016741,0.017299,0.017299,0.017299,41619200,Gain,Gain,Gain,Gain,Gain
4/8/81,04/08,1981,4,Spring,Q2,0.112165,0.112723,0.112165,0.112165,0.088047,31673600,-0.03125,-0.03125,-0.03125,-0.03125,-24393600,Loss,Loss,Loss,Loss,Loss
4/9/81,04/09,1981,4,Spring,Q2,0.091518,0.091518,0.09096,0.09096,0.071402,15254400,-0.020647,-0.021205,-0.021205,-0.021205,-16419200,Loss,Loss,Loss,Loss,Loss
4/11/81,04/11,1981,4,Spring,Q2,0.086496,0.086496,0.085938,0.085938,0.06746,23811200,-0.005022,-0.005022,-0.005022,-0.005022,8556800,Loss,Loss,Loss,Loss,Gain
4/12/81,04/12,1981,4,Spring,Q2,0.084821,0.085379,0.084821,0.084821,0.066583,137155200,-0.001675,-0.001117,-0.001117,-0.001117,113344000,Loss,Loss,Loss,Loss,Gain
4/13/81,04/13,1981,4,Spring,Q2,0.124442,0.125,0.124442,0.124442,0.097685,16060800,0.039621,0.039621,0.039621,0.039621,-121094400,Gain,Gain,Gain,Gain,Loss
4/14/81,04/14,1981,4,Spring,Q2,0.124442,0.125,0.124442,0.124442,0.097685,6652800,0,0,0,0,-9408000,Gain,Gain,Gain,Gain,Loss
4/15/81,04/15,1981,4,Spring,Q2,0.118862,0.118862,0.118304,0.118304,0.092866,34048000,-0.00558,-0.006138,-0.006138,-0.006138,27395200,Loss,Loss,Loss,Loss,Gain
4/16/81,04/16,1981,4,Spring,Q2,0.112165,0.112165,0.111607,0.111607,0.087609,23878400,-0.006697,-0.006697,-0.006697,-0.006697,-10169600,Loss,Loss,Loss,Loss,Loss
4/20/81,04/20,1981,4,Spring,Q2,0.114955,0.115513,0.114955,0.114955,0.090238,35347200,0.00279,0.003348,0.003348,0.003348,11468800,Gain,Gain,Gain,Gain,Gain
4/21/81,04/21,1981,4,Spring,Q2,0.122768,0.123326,0.122768,0.122768,0.096371,28537600,0.007813,0.007813,0.007813,0.007813,-6809600,Gain,Gain,Gain,Gain,Loss
4/22/81,04/22,1981,4,Spring,Q2,0.127232,0.12779,0.127232,0.127232,0.099875,18995200,0.004464,0.004464,0.004464,0.004464,-9542400,Gain,Gain,Gain,Gain,Loss
4/23/81,04/23,1981,4,Spring,Q2,0.13058,0.131138,0.13058,0.13058,0.102503,58016000,0.003348,0.003348,0.003348,0.003348,39020800,Gain,Gain,Gain,Gain,Gain
4/24/81,04/24,1981,4,Spring,Q2,0.13058,0.13058,0.129464,0.129464,0.101627,35056000,0,-0.000558,-0.001116,-0.001116,-22960000,Gain,Loss,Loss,Loss,Loss
4/27/81,04/27,1981,4,Spring,Q2,0.128906,0.128906,0.128348,0.128348,0.100751,38528000,-0.001674,-0.001674,-0.001116,-0.001116,3472000,Loss,Loss,Loss,Loss,Gain
4/28/81,04/28,1981,4,Spring,Q2,0.126674,0.126674,0.126116,0.126116,0.098999,32188800,-0.002232,-0.002232,-0.002232,-0.002232,-6339200,Loss,Loss,Loss,Loss,Loss
4/29/81,04/29,1981,4,Spring,Q2,0.125,0.125,0.124442,0.124442,0.097685,13641600,-0.001674,-0.001674,-0.001674,-0.001674,-18547200,Loss,Loss,Loss,Loss,Loss
4/30/81,04/30,1981,4,Spring,Q2,0.126674,0.12779,0.126674,0.126674,0.099437,12611200,0.001674,0.00279,0.002232,0.002232,-1030400,Gain,Gain,Gain,Gain,Loss
5/1/81,05/01,1981,5,Spring,Q2,0.151228,0.151228,0.15067,0.15067,0.118273,35728000,0.024554,0.023438,0.023996,0.023996,23116800,Gain,Gain,Gain,Gain,Gain
5/2/81,05/02,1981,5,Spring,Q2,0.12779,0.128906,0.12779,0.12779,0.100313,7929600,-0.023438,-0.022322,-0.02288,-0.02288,-27798400,Loss,Loss,Loss,Loss,Loss
5/3/81,05/03,1981,5,Spring,Q2,0.116071,0.116071,0.115513,0.115513,0.090676,5376000,-0.011719,-0.012835,-0.012277,-0.012277,-2553600,Loss,Loss,Loss,Loss,Loss
5/5/81,05/05,1981,5,Spring,Q2,0.126116,0.126116,0.125558,0.125558,0.098561,17539200,0.010045,0.010045,0.010045,0.010045,12163200,Gain,Gain,Gain,Gain,Gain
5/6/81,05/06,1981,5,Spring,Q2,0.141741,0.141741,0.141183,0.141183,0.110826,57680000,0.015625,0.015625,0.015625,0.015625,40140800,Gain,Gain,Gain,Gain,Gain
5/8/81,05/08,1981,5,Spring,Q2,0.115513,0.116071,0.115513,0.115513,0.090676,17494400,-0.026228,-0.02567,-0.02567,-0.02567,-40185600,Loss,Loss,Loss,Loss,Loss
5/10/81,05/10,1981,5,Spring,Q2,0.075893,0.077009,0.075893,0.075893,0.059575,43097600,-0.03962,-0.039062,-0.03962,-0.03962,25603200,Loss,Loss,Loss,Loss,Gain
5/11/81,05/11,1981,5,Spring,Q2,0.080357,0.080357,0.079799,0.079799,0.062641,23363200,0.004464,0.003348,0.003906,0.003906,-19734400,Gain,Gain,Gain,Gain,Loss
5/13/81,05/13,1981,5,Spring,Q2,0.12221,0.123326,0.121652,0.121652,0.095495,4905600,0.041853,0.042969,0.041853,0.041853,-18457600,Gain,Gain,Gain,Gain,Loss
5/14/81,05/14,1981,5,Spring,Q2,0.121094,0.121094,0.119978,0.119978,0.094181,4928000,-0.001116,-0.002232,-0.001674,-0.001674,22400,Loss,Loss,Loss,Loss,Gain
5/15/81,05/15,1981,5,Spring,Q2,0.122768,0.124442,0.122768,0.122768,0.096371,4905600,0.001674,0.003348,0.00279,0.00279,-22400,Gain,Gain,Gain,Gain,Loss
5/18/81,05/18,1981,5,Spring,Q2,0.125,0.126116,0.125,0.125,0.098123,4166400,0.002232,0.001674,0.002232,0.002232,-739200,Gain,Gain,Gain,Gain,Loss
5/19/81,05/19,1981,5,Spring,Q2,0.123326,0.123326,0.122768,0.122768,0.096371,25424000,-0.001674,-0.00279,-0.002232,-0.002232,21257600,Loss,Loss,Loss,Loss,Gain
5/20/81,05/20,1981,5,Spring,Q2,0.126674,0.12779,0.126674,0.126674,0.099437,13283200,0.003348,0.004464,0.003906,0.003906,-12140800,Gain,Gain,Gain,Gain,Loss
5/21/81,05/21,1981,5,Spring,Q2,0.133929,0.134487,0.133929,0.133929,0.105132,32211200,0.007255,0.006697,0.007255,0.007255,18928000,Gain,Gain,Gain,Gain,Gain
5/22/81,05/22,1981,5,Spring,Q2,0.140067,0.141183,0.140067,0.140067,0.10995,31427200,0.006138,0.006696,0.006138,0.006138,-784000,Gain,Gain,Gain,Gain,Loss
5/26/81,05/26,1981,5,Spring,Q2,0.140067,0.140067,0.139509,0.139509,0.109512,85344000,0,-0.001116,-0.000558,-0.000558,53916800,Gain,Loss,Loss,Loss,Gain
5/27/81,05/27,1981,5,Spring,Q2,0.147321,0.147879,0.147321,0.147321,0.115644,149497600,0.007254,0.007812,0.007812,0.007812,64153600,Gain,Gain,Gain,Gain,Gain
5/28/81,05/28,1981,5,Spring,Q2,0.147321,0.147879,0.147321,0.147321,0.115644,73987200,0,0,0,0,-75510400,Gain,Gain,Gain,Gain,Loss
5/29/81,05/29,1981,5,Spring,Q2,0.147879,0.148438,0.147879,0.147879,0.116082,59382400,0.000558,0.000559,0.000558,0.000558,-14604800,Gain,Gain,Gain,Gain,Loss
6/1/81,06/01,1981,6,Summer,Q2,0.144531,0.144531,0.143973,0.143973,0.113016,45158400,-0.003348,-0.003907,-0.003906,-0.003906,-14224000,Loss,Loss,Loss,Loss,Loss
6/2/81,06/02,1981,6,Summer,Q2,0.128348,0.128906,0.128348,0.128348,0.100751,13865600,-0.016183,-0.015625,-0.015625,-0.015625,-31292800,Loss,Loss,Loss,Loss,Loss
6/3/81,06/03,1981,6,Summer,Q2,0.115513,0.115513,0.114397,0.114397,0.0898,11603200,-0.012835,-0.013393,-0.013951,-0.013951,-2262400,Loss,Loss,Loss,Loss,Loss
6/4/81,06/04,1981,6,Summer,Q2,0.116629,0.116629,0.116071,0.116071,0.091114,22803200,0.001116,0.001116,0.001674,0.001674,11200000,Gain,Gain,Gain,Gain,Gain
6/5/81,06/05,1981,6,Summer,Q2,0.122768,0.122768,0.12221,0.12221,0.095933,18950400,0.006139,0.006139,0.006139,0.006139,-3852800,Gain,Gain,Gain,Gain,Loss
6/7/81,06/07,1981,6,Summer,Q2,0.112165,0.112165,0.111049,0.111049,0.087171,16531200,-0.010603,-0.010603,-0.011161,-0.011161,-2419200,Loss,Loss,Loss,Loss,Loss
6/8/81,06/08,1981,6,Summer,Q2,0.113281,0.113281,0.112723,0.112723,0.088485,10528000,0.001116,0.001116,0.001674,0.001674,-6003200,Gain,Gain,Gain,Gain,Loss
6/10/81,06/10,1981,6,Summer,Q2,0.075893,0.075893,0.075335,0.075335,0.059137,28358400,-0.037388,-0.037388,-0.037388,-0.037388,17830400,Loss,Loss,Loss,Loss,Gain
6/11/81,06/11,1981,6,Summer,Q2,0.080357,0.080915,0.080357,0.080357,0.063079,24595200,0.004464,0.005022,0.005022,0.005022,-3763200,Gain,Gain,Gain,Gain,Loss
6/15/81,06/15,1981,6,Summer,Q2,0.145089,0.145089,0.144531,0.144531,0.113454,143763200,0.064732,0.064174,0.064174,0.064174,119168000,Gain,Gain,Gain,Gain,Gain
6/16/81,06/16,1981,6,Summer,Q2,0.142299,0.142299,0.141741,0.141741,0.111264,37251200,-0.00279,-0.00279,-0.00279,-0.00279,-106512000,Loss,Loss,Loss,Loss,Loss
6/17/81,06/17,1981,6,Summer,Q2,0.140067,0.140067,0.139509,0.139509,0.109512,27574400,-0.002232,-0.002232,-0.002232,-0.002232,-9676800,Loss,Loss,Loss,Loss,Loss
6/18/81,06/18,1981,6,Summer,Q2,0.139509,0.140067,0.138951,0.138951,0.109074,23049600,-0.000558,0,-0.000558,-0.000558,-4524800,Loss,Gain,Loss,Loss,Loss
6/19/81,06/19,1981,6,Summer,Q2,0.135603,0.135603,0.135045,0.135045,0.106008,27507200,-0.003906,-0.004464,-0.003906,-0.003906,4457600,Loss,Loss,Loss,Loss,Gain
6/22/81,06/22,1981,6,Summer,Q2,0.13058,0.13058,0.130022,0.130022,0.102065,10841600,-0.005023,-0.005023,-0.005023,-0.005023,-16665600,Loss,Loss,Loss,Loss,Loss
6/23/81,06/23,1981,6,Summer,Q2,0.132254,0.133371,0.132254,0.132254,0.103817,15030400,0.001674,0.002791,0.002232,0.002232,4188800,Gain,Gain,Gain,Gain,Gain
6/24/81,06/24,1981,6,Summer,Q2,0.130022,0.130022,0.128906,0.128906,0.101189,23027200,-0.002232,-0.003349,-0.003348,-0.003348,7996800,Loss,Loss,Loss,Loss,Gain
6/25/81,06/25,1981,6,Summer,Q2,0.131696,0.132254,0.131696,0.131696,0.103379,24259200,0.001674,0.002232,0.00279,0.00279,1232000,Gain,Gain,Gain,Gain,Gain
6/26/81,06/26,1981,6,Summer,Q2,0.131138,0.131138,0.130022,0.130022,0.102065,23788800,-0.000558,-0.001116,-0.001674,-0.001674,-470400,Loss,Loss,Loss,Loss,Loss
6/29/81,06/29,1981,6,Summer,Q2,0.126674,0.126674,0.125558,0.125558,0.098561,10595200,-0.004464,-0.004464,-0.004464,-0.004464,-13193600,Loss,Loss,Loss,Loss,Loss
6/30/81,06/30,1981,6,Summer,Q2,0.116629,0.116629,0.116071,0.116071,0.091114,35907200,-0.010045,-0.010045,-0.009487,-0.009487,25312000,Loss,Loss,Loss,Loss,Gain
7/1/81,07/01,1981,7,Summer,Q3,0.138393,0.138393,0.137835,0.137835,0.108198,55686400,0.021764,0.021764,0.021764,0.021764,19779200,Gain,Gain,Gain,Gain,Gain
7/4/81,07/04,1981,7,Summer,Q3,0.115513,0.115513,0.114955,0.114955,0.090238,10684800,-0.02288,-0.02288,-0.02288,-0.02288,-45001600,Loss,Loss,Loss,Loss,Loss
7/5/81,07/05,1981,7,Summer,Q3,0.123884,0.124442,0.123884,0.123884,0.097247,9363200,0.008371,0.008929,0.008929,0.008929,-1321600,Gain,Gain,Gain,Gain,Loss
